8188fu-dkms-git r13.586d795-1
python-jupyter-ydoc 1.1.1-1
python-jupyterlab-server 2.25.0-1
python-kiwisolver 1.4.5-1
python-lazy-object-proxy 1.9.0-3
python-ldap3 2.9.1-4
python-lxml 4.9.2-3
python-markdown 3.5-1
python-markdown-it-py 3.0.0-1
python-markupsafe 2.1.3-1
python-matplotlib 3.8.0-1
python-matplotlib-inline 0.1.6-4
python-mccabe 0.7.0-5
python-mdurl 0.1.2-4
python-memory-allocator 0.1.3-2
python-merge3 0.0.14-1
python-mistune 1:2.0.5-1
python-moddb 0.10.0-1
python-more-itertools 10.1.0-1
python-mpmath 1.3.0-2
python-msgpack 1.0.5-1
python-multidict 6.0.4-2
python-mutagen 1.47.0-1
python-nest-asyncio 1.5.8-1
python-netaddr 0.8.0-7
python-networkx 3.2.1-1
python-nspektr 0.4.0-3
python-numpy 1.26.1-1
python-ordered-set 4.1.0-4
python-orjson 3.9.10-1
python-overrides 7.4.0-1
python-packaging 23.1-1
python-pandas 1.5.3-3
python-pandocfilters 1.5.0-3
python-parso 1:0.8.3-2
python-patiencediff 0.2.14-1
python-pcapy 1.0.5-2
python-pep517 0.12.0-4
python-pexpect 4.8.0-7
python-pickleshare 0.7.5-9
python-pillow 10.1.0-1
python-pip 23.3.1-1
python-platformdirs 3.11.0-1
python-ply 3.11-12
python-pooch 1.8.0-1
python-pplpy 0.8.9-1
python-primecountpy 0.1.0-2
python-progress 1.6-5
python-prometheus_client 0.17.1-1
python-prompt_toolkit 3.0.39-1
python-protobuf 24.4-1
python-psutil 5.9.6-1
python-ptyprocess 0.7.0-5
python-pure-eval 0.2.2-3
python-pyaes 1.6.1-10
python-pyasn1 0.4.8-8
python-pycparser 2.21-5
python-pycrtsh 38.cf3c1d6-1
python-pycryptodome 3.19.0-1
python-pycryptodomex 3.12.0-2
python-pydantic 2.3.0-1
python-pygments 2.16.1-1
python-pylint 2.17.7-1
python-pylspci 0.4.0-1
python-pymysql 1.1.0-1
python-pyopenssl 23.2.0-1
python-pyparsing 3.1.1-1
python-pyperclip 1.8.2-6
python-pyqt6 6.5.3-1
python-pyqt6-sip 13.6.0-1
python-pyqt6-webengine 6.5.0-2
python-pyrate-limiter 3.1.0-1
python-pyrsistent 0.19.3-3
python-pysocks 1.7.1-8
python-pytz 2023.3.post1-1
python-pytz-deprecation-shim 0.1.0.post0-6
python-pyxdg 0.28-2
python-pyzmq 25.1.1-1
python-qtpy 2.4.0-1
python-requests 2.31.0-1
python-requests-toolbelt 1.0.0-1
python-requests-unixsocket 0.3.0-3
python-resolvelib 1.0.1-1
python-retrying 1.3.3-16
python-rfc3339-validator 0.1.4-4
python-rfc3986-validator 0.1.1-2
python-rfc3987 1.3.8-9
python-rich 13.6.0-1
python-rpy2 3.5.14-1
python-ruamel-yaml 0.17.40-1
python-ruamel.yaml.clib 0.2.7-2
python-scipy 1.11.3-1
python-send2trash 1.8.2-1
python-setproctitle 1.3.3-1
python-setuptools 1:68.0.0-1
python-shiboken2 5.15.11-1
python-six 1.16.0-8
python-sniffio 1.3.0-3
python-snowballstemmer 2.2.0-5
python-soupsieve 2.5-1
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.13-4
python-sphinxcontrib-applehelp 1.0.7-1
python-sphinxcontrib-devhelp 1.0.5-1
python-sphinxcontrib-htmlhelp 2.0.4-1
python-sphinxcontrib-jsmath 1.0.1-15
python-sphinxcontrib-qthelp 1.0.6-1
python-sphinxcontrib-serializinghtml 1.1.9-1
python-sqlparse 0.4.3-2
python-stack-data 0.6.3-1
python-sympy 1.12-1
python-tabulate 0.9.0-2
python-tenacity 8.2.3-1
python-terminado 0.17.1-3
python-testpath 0.6.0-2
python-tinycss2 1.2.1-2
python-toml 0.10.2-9
python-tomli 2.0.1-3
python-tomlkit 0.12.1-1
python-toolz 0.12.0-3
python-tornado 6.2.0-4
python-tqdm 4.66.1-2
python-traitlets 5.12.0-1
python-trove-classifiers 2023.10.18-1
python-twisted 22.10.0-3
python-typing_extensions 4.8.0-1
python-tzdata 2023.3-3
python-tzlocal 1:5.2-1
python-uc-micro-py 1.0.2-1
python-uri-template 1.3.0-1
python-urllib3 1.26.15-1
python-validate-pyproject 0.13-1
python-waitress 2.1.2-2
python-wcwidth 0.2.8-1
python-webcolors 1.13-2
python-webencodings 0.5.1-10
python-websocket-client 1.6.4-1
python-websockets 10.4-3
python-werkzeug 2.3.7-1
python-wheel 0.40.0-3
python-wrapt 1.14.1-2
python-y-py 0.6.2-1
python-yaml 6.0.1-2
python-ypy-websocket 0.12.4-1
python-ytmusicapi 1.3.1-1
python-zipp 3.17.0-1
python-zope-interface 6.0-3
python2 2.7.18-5
python2-asn1crypto 1.4.0-4
python2-backports 1.0-4
python2-backports.functools_lru_cache 1.6.4-3
python2-beautifulsoup4 4.9.3-4
python2-cffi 1.14.6-3
python2-chardet 4.0.0-3
python2-colorclass 2.2.0-5
python2-cryptography 3.3.2-2
python2-dnspython 1.16.0-3
python2-docopt 0.6.2-6
python2-easygui 0.98.1-3
python2-enum34 1.1.10-1
python2-idna 2.10-4
python2-ipaddress 1.0.23-3
python2-lxml 4.6.2-2
python2-msoffcrypto-tool 5.0.0-1
python2-olefile 0.46-4
python2-oletools 1:0.60-4
python2-pcodedmp 1.2.6-5
python2-pdfminer 20140328-4
python2-ply 3.11-8
python2-pyasn1 0.4.8-5
python2-pycparser 2.21-1
python2-pyparsing 2.4.7-6
python2-pythonwhois 2.4.3-7
python2-requests 2.26.0-2
python2-six 1.16.0-5
python2-soupsieve 1.9.6-3
python2-termcolor 1.1.0-7
python2-urllib3 1.26.7-2
qbittorrent 4.6.0-1
qca-qt5 2.3.7-2
qcoro-qt5 0.9.0-1
qd 2.3.23-1
qemu-audio-spice 8.1.2-1
qemu-base 8.1.2-1
qemu-block-curl 8.1.2-1
qemu-block-dmg 8.1.2-1
qemu-block-nfs 8.1.2-1
qemu-block-ssh 8.1.2-1
qemu-chardev-spice 8.1.2-1
qemu-common 8.1.2-1
qemu-hw-display-qxl 8.1.2-1
qemu-hw-display-virtio-gpu 8.1.2-1
qemu-hw-display-virtio-gpu-gl 8.1.2-1
qemu-hw-display-virtio-gpu-pci 8.1.2-1
qemu-hw-display-virtio-gpu-pci-gl 8.1.2-1
qemu-hw-display-virtio-vga 8.1.2-1
qemu-hw-display-virtio-vga-gl 8.1.2-1
qemu-hw-s390x-virtio-gpu-ccw 8.1.2-1
qemu-hw-usb-host 8.1.2-1
qemu-hw-usb-redirect 8.1.2-1
qemu-hw-usb-smartcard 8.1.2-1
qemu-img 8.1.2-1
qemu-pr-helper 8.1.2-1
qemu-system-x86 8.1.2-1
qemu-system-x86-firmware 8.1.2-1
qemu-tools 8.1.2-1
qemu-ui-curses 8.1.2-1
qemu-ui-opengl 8.1.2-1
qemu-ui-spice-app 8.1.2-1
qemu-ui-spice-core 8.1.2-1
qgpgme-qt5 1.23.1-1
qhull 2020.2-4
qpdf 11.6.3-1
qqc2-desktop-style5 5.111.0-1
qrencode 4.1.1-2
qt5-base 5.15.11+kde+r138-1
qt5-charts 5.15.11-1
qt5-declarative 5.15.11+kde+r31-1
qt5-feedback 0.0.0.20150918-4
qt5-graphicaleffects 5.15.11-1
qt5-imageformats 5.15.11+kde+r12-1
qt5-location 5.15.11+kde+r5-1
qt5-multimedia 5.15.11+kde+r2-1
qt5-networkauth 5.15.11-1
qt5-quickcontrols 5.15.11-1
qt5-quickcontrols2 5.15.11+kde+r5-1
qt5-script 5.15.15-2
qt5-sensors 5.15.11-1
qt5-speech 5.15.11+kde+r1-1
qt5-svg 5.15.11+kde+r6-1
qt5-tools 5.15.11+kde+r3-1
qt5-translations 5.15.11-1
qt5-wayland 5.15.11+kde+r60-1
qt5-webchannel 5.15.11+kde+r3-1
qt5-webengine 5.15.15-2
qt5-webkit 5.212.0alpha4-15
qt5-websockets 5.15.11+kde+r2-1
qt5-webview 5.15.11-1
qt5-x11extras 5.15.11-1
qt5-xmlpatterns 5.15.11-1
qt5ct 1.8-1
qt6-3d 6.6.0-1
qt6-5compat 6.6.0-1
qt6-base 6.6.0-2
qt6-charts 6.6.0-1
qt6-connectivity 6.6.0-1
qt6-datavis3d 6.6.0-1
qt6-declarative 6.6.0-1
qt6-doc 6.6.0-1
qt6-examples 6.6.0-1
qt6-grpc 6.6.0-1
qt6-httpserver 6.6.0-1
qt6-imageformats 6.6.0-1
qt6-languageserver 6.6.0-1
qt6-location 6.6.0-1
qt6-lottie 6.6.0-1
qt6-multimedia 6.6.0-1
qt6-multimedia-ffmpeg 6.6.0-1
qt6-networkauth 6.6.0-1
qt6-positioning 6.6.0-1
qt6-quick3d 6.6.0-1
qt6-quick3dphysics 6.6.0-1
qt6-quickeffectmaker 6.6.0-1
qt6-quicktimeline 6.6.0-1
qt6-remoteobjects 6.6.0-1
qt6-scxml 6.6.0-1
qt6-sensors 6.6.0-1
qt6-serialbus 6.6.0-1
qt6-serialport 6.6.0-1
qt6-shadertools 6.6.0-1
qt6-speech 6.6.0-1
qt6-svg 6.6.0-2
qt6-tools 6.6.0-1
qt6-translations 6.6.0-1
qt6-virtualkeyboard 6.6.0-1
qt6-wayland 6.6.0-1
qt6-webchannel 6.6.0-1
qt6-webengine 6.6.0-1
qt6-websockets 6.6.0-1
qt6-webview 6.6.0-1
qtkeychain-qt5 0.14.1-2
quarto-cli-bin 1.3.450-1
r 4.3.1-2
radare2 5.8.8-1
rankwidth 0.9-2
rapidjson 1.1.0-5
raptor 2.0.16-3
rar 6.10.0-1
rasqal 1:0.9.33-6
rav1e 0.6.6-3
rclone 1.64.2-1
re2 1:20230901-2
readline 8.2.001-2
redland 1:1.0.17-8
reflector 2023-1
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.4-1
ripgrep 13.0.0-3
rnnoise 0.4.1-1
rocs 23.08.2-1
rofi 1.7.5-2
rofi-greenclip 4.2-2
rpm-tools 4.18.1-4
rsync 3.2.7-6
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-addressable 2.8.4-1
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.4.20-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.6.3-1
ruby-logger 1.5.1-3
ruby-minitest 5.16.3-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-public_suffix 5.0.0-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdiscount 2.2.7-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
ruby2.7 2.7.8-1
rubygems 3.3.25-1
run-parts 5.5-1
runc 1.1.9-1
rust 1:1.73.0-1
rygel 1:0.42.4-1
ryujinx-git r2021.3705c2066-1
sage-data-combinatorial_designs 20140630-4
sage-data-conway_polynomials 0.5-5
sage-data-elliptic_curves 0.8.1-2
sage-data-graphs 20210214-1
sage-data-polytopes_db 20170220-2
sagemath 10.1-7
sagemath-doc 10.1-2
samba 4.19.2-1
sane 1.2.1-5
sbc 2.0-1
scrcpy 2.1.1-1
scrot 1.10-1
sdcv 0.5.5-1
sddm 0.20.0-2
sddm-kcm 5.27.9-1
sdl12-compat 1.2.68-1
sdl2 2.28.4-1
seabios 1.16.2-2
sed 4.9-3
seeker 1:263.1d1765c-1
semver 7.5.2-1
serd 0.32.0-1
serf 1.3.9-8
setconf 0.7.7-2
sgml-common 0.6.3-8
shaderc 2023.4-2
shadow 4.14.2-1
shared-color-targets 0.1.7-4
shared-mime-info 2.3-1
signon-kwallet-extension 23.08.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
simple-scan 44.0-2
singular 4.3.2.p9-2
skanlite 23.08.2-1
skanpage 23.08.2-1
slack-desktop 4.27.156-1
slang 2.3.3-2
slop 7.6-3
smartmontools 7.4-1
smbclient 4.19.2-1
snapd 2.59.1-1
snappy 1.1.10-1
snapshot 45.0-2
socat 1.7.4.4-1
soci-git 4.0.3.r0.g438e3549-1
solid5 5.111.0-1
sonnet5 5.111.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
source-highlight 3.1.9-11
spaceship-prompt 4.14.0-1
spandsp 0.0.6-5
spectacle 23.08.2-1
speech-dispatcher 0.11.5-1
speex 1.2.1-1
speexdsp 1.2.1-1
spglib 2.1.0-1
spice 0.15.2-1
spice-protocol 0.14.4-1
spirv-tools 2022.4-1
spotify 1:1.1.72.439-3
sqlite 3.43.2-1
sqlmap 1.7.10-1
squashfs-tools 4.6.1-1
sratom 0.6.14-1
srt 1.5.3-1
startup-notification 0.12-8
steam 1.0.0.78-2
steghide 0.5.1-10
step 23.08.2-1
sublime-text-4 4.4126-1
sublist3r 138.729d649-3
subversion 1.14.2-12
sudo 1.9.14.p3-1
suitesparse 7.3.0-1
sushi 45.0-1
svgpart 23.08.2-1
svt-av1 1.7.0-1
svt-hevc 1.5.1-2
sweeper 23.08.2-1
swh-plugins 0.4.17-5
sxhkd 0.6.2-3
symmetrica 3.0.1-1
sympow 2.023.6-1
syncplay 1.7.0-1
syndication5 5.111.0-1
syntax-highlighting5 5.111.0-1
sysfsutils 2.1.1-1
systemd 254.5-1
systemd-libs 254.5-1
systemd-sysvcompat 254.5-1
systemsettings 5.27.9-1
t1lib 5.1.2-8
tachyon 0.99.5-1
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tdb 1.4.9-1
teams 1.4.00.26453-1
teams-for-linux 1.0.23-1
tecla 45.0-1
telepathy-glib 0.24.2-2
telly-skout 23.08.2-1
tepl 1:6.8.0-1
terminator 2.1.3-3
tesseract 5.3.3-1
tesseract-data-ben 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.15.0-1
texinfo 7.1-1
texlive-basic 2023.66594-19
texlive-bibtexextra 2023.66594-19
texlive-bin 2023.66984-16
texlive-fontsextra 2023.66594-19
texlive-formatsextra 2023.66594-19
texlive-games 2023.66594-19
texlive-humanities 2023.66594-19
texlive-latexextra 2023.66594-19
texlive-mathscience 2023.66594-19
texlive-music 2023.66594-19
texlive-pictures 2023.66594-19
texlive-pstricks 2023.66594-19
texlive-publishers 2023.66594-19
thin-provisioning-tools 1.0.6-1
threadweaver5 5.111.0-1
threejs-sage 1:r124-3
ticktick-nativefier 2021.04.30-3
tk 8.6.13-2
tlp 1.6.1-1
tmpmail 1.1.9-2
tmux 3.3_a-7
tokodon 23.08.2-2
tor 0.4.8.7-1
tor-browser 11.0.14-1
totem 43.0-2
totem-pl-parser 3.26.6-2
touchpad-disabler 0.4-1
tpm2-tss 4.0.1-1
traceroute 2.1.3-1
tracker 1:2.3.6+r7+gb27396252-1
tracker-miners 1:2.3.5+r3+gd9d61d87f-1
tracker3 3.6.0-1
tracker3-miners 3.6.1-1
tree 2.1.1-1
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-font-awesome 6.4.2-1
ttf-google-sans 1-2
ttf-hack 3.003-6
ttf-iosevka-nerd 3.0.2-1
ttf-koruri 20180915-2
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-muli 3.000-2
ttf-opensans 1.101-2
ttf-terminus-nerd 3.0.2-1
twolame 0.4.0-3
tzdata 2023c-2
uchardet 0.0.8-2
udisks2 2.10.1-2
umbrello 23.08.2-1
unibilium 2.1.1-1
unixodbc 2.3.12-1
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3
usbredir 0.13.0-1
usbutils 016-2
uthash 2.3.0-2
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
vde2 2.3.3-3
vid.stab 1.1.1-1
vim 9.0.2070-1
vim-runtime 9.0.2070-1
virglrenderer 0.10.4-1
virtiofsd 1.8.0-1
vivaldi 6.4.3160.34-1
vlc 3.0.19-1
vmaf 2.3.1-1
vmware-keymaps 1.0-3
vmware-workstation 16.2.1-4
volume_key 0.3.12-8
vsqlite++ 0.3.13-7
vte-common 0.74.1-1
vte3 0.74.1-1
vte4 0.74.1-1
vtk 9.2.6-10
vulkan-headers 1:1.3.269-1
vulkan-icd-loader 1.3.269-1
vulkan-tools 1.3.269-1
w3m 0.5.3.git20230121_1-1
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.32-1
wayland-utils 1.2.0-1
webkit2gtk 2.42.1-2
webkit2gtk-4.1 2.42.1-2
webkitgtk-6.0 2.42.1-2
webp-pixbuf-loader 0.2.5-1
webrtc-audio-processing 0.3.1-4
wget 1.21.4-1
which 2.21-6
whois 5.5.19-1
wildmidi 0.4.5-2
windscribe-cli 1.4_51-1
wine 8.18-1
winetricks 20230212-1
wireless_tools 30.pre9-3
wireshark-cli 4.0.10-1
wireshark-qt 4.0.10-1
wmctrl 1.07-6
woff2 1.0.2-4
wolfssl 5.6.3-3
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
wpscan 1:3.8.25-1
wqy-microhei 0.2.0_beta-11
wxwidgets-common 3.2.3-1
wxwidgets-gtk3 3.2.3-1
x11vnc 1:0.9.16-7
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xapian-core 1:1.4.23-1
xautolock 2.2-6
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-4
xdelta3 3.1.0-4
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.0-2
xdg-desktop-portal-gnome 45.0-1
xdg-desktop-portal-gtk 1.15.1-1
xdg-desktop-portal-kde 5.27.9-1
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-2
xdg-utils 1.1.3+45+g301a1a4-1
xerces-c 3.2.4-3
xf86-input-libinput 1.4.0-1
xf86-input-synaptics 1.9.2-1
xf86-video-dummy 0.4.1-1
xf86-video-nouveau 1.0.17-2
xf86-video-vesa 2.6.0-1
xfsprogs 6.5.0-1
xkeyboard-config 2.40-1
xmlsec 1.2.37-1
xmonad 0.17.1-107
xmonad-contrib 0.17.1-106
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.1-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.9-1
xorg-server-common 21.1.9-1
xorg-server-devel 21.1.9-1
xorg-server-xephyr 21.1.9-1
xorg-server-xnest 21.1.9-1
xorg-server-xvfb 21.1.9-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-util-macros 1.20.0-2
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcalc 1.1.2-1
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.2.2-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2023.2-1
xpad 5.8.0-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.4.4-1
yajl 2.1.0-5
yakuake 23.08.2-1
yaml-cpp 0.8.0-1
yarn 1.22.19-1
yay 11.1.2-1
yelp 42.2-2
yelp-xsl 42.1-1
youtube-dl 2021.12.17-2
yt-dlp 2023.10.13-1
zanshin 23.08.2-1
zathura 0.5.2-2
zathura-djvu 0.2.9-2
zathura-pdf-mupdf 0.4.1-7
zbar 0.23.90-3
zenity 3.44.2-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zita-alsa-pcmi 0.6.1-1
zita-resampler 1.11.2-1
zlib 1:1.3-2
zn_poly 0.9.2-2
zoom 5.11.3-1
zopflipng-git 1.0.3.r7.g831773b-1
zsh 5.9-4
zsh-completions 0.35.0-1
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.1.0-1
zziplib 0.13.72-2
