8188fu-dkms-git r13.586d795-1
geocode-glib-common 3.26.4-4
geogebra-5 5.0.721.0-1
geoip 1.6.12-2
geoip-database 20230901-1
gettext 0.22.3-1
gf2x 1.3.0-2
gfan 0.6.2-2
gfbgraph 0.2.5-1
ghc 9.0.2-3
ghc-libs 9.0.2-3
ghostscript 10.02.0-2
ghostwriter 23.08.2-1
giac 1.9.0.67-1
giflib 5.2.1-2
girara 0.4.0-1
git 2.42.0-1
git-lfs 3.4.0-1
givaro 4.2.0-1
gjs 2:1.78.0-2
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib2 2.78.1-1
glibc 2.38-7
glibmm 2.66.6-1
glibmm-2.68 2.78.0-1
glm 0.9.9.8-2
glow 1.5.1-1
glpk 5.0-2
glslang 13.0.0-1
glu 9.0.3-1
glycin 0.1.1-1
gmime3 3.2.13-2
gmp 6.3.0-1
gmp-ecm 7.0.5-1
gnome-autoar 0.4.4-1
gnome-backgrounds 45.0-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-1
gnome-bluetooth-3.0 42.6-1
gnome-calculator 45.0.2-1
gnome-calendar 45.1-1
gnome-characters 45.0-1
gnome-clocks 45.0-1
gnome-color-manager 3.36.0+r51+gcf7ee2b5-1
gnome-connections 45.0-1
gnome-console 45.0-1
gnome-contacts 45.0-1
gnome-control-center 45.1-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 45.0-1
gnome-font-viewer 45.0-1
gnome-keyring 1:42.1-3
gnome-logs 45beta-1
gnome-maps 45.1-1
gnome-menus 3.36.0-2
gnome-music 1:45.0-1
gnome-online-accounts 3.48.0-2
gnome-photos 1:44.0-4
gnome-remote-desktop 45.1-1
gnome-screenshot 41.0+r25+g45f08f0-1
gnome-session 45.0-1
gnome-settings-daemon 45.0-1
gnome-shell 1:45.0+r17+gebf2f8036-1
gnome-shell-extensions 45.0-2
gnome-software 45.1-1
gnome-system-monitor 45.0.2-1
gnome-terminal 3.50.1-1
gnome-text-editor 45.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-tour 45.0-1
gnome-tweaks 45.0-1
gnome-user-docs 45.1-1
gnome-user-share 43.0-1
gnome-video-effects 1:0.6.0-1
gnome-weather 45.0-1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-9
gnugo 3.8-7
gnupg 2.2.41-2
gnutls 3.8.1-2
go 2:1.21.3-1
go-tools 4:0.14.0-1
go-tuner-git r327.f838c48-1
gobject-introspection-runtime 1.78.1-1
gobuster 2:334.f7bc132-1
gom 0.4-7
google-chrome 114.0.5735.90-1
gperf 3.1-5
gperftools 2.13-2
gpgme 1.23.1-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
granatier 23.08.2-1
grantlee 5.3.1-1
